ModuleCmd_Switch.c(179):ERROR:152: Module 'PrgEnv-cray' is currently not loaded
Implementation:  python
Running  32 gridpoints with  0.0 % sea_ice
Running  64 gridpoints with  0.0 % sea_ice
Running  128 gridpoints with  0.0 % sea_ice
Running  256 gridpoints with  0.0 % sea_ice
Running  512 gridpoints with  0.0 % sea_ice
Running  1024 gridpoints with  0.0 % sea_ice
Running  2048 gridpoints with  0.0 % sea_ice
Running  4096 gridpoints with  0.0 % sea_ice
Running  8192 gridpoints with  0.0 % sea_ice
Running  16384 gridpoints with  0.0 % sea_ice
Running  32768 gridpoints with  0.0 % sea_ice
Running  65536 gridpoints with  0.0 % sea_ice
Running  131072 gridpoints with  0.0 % sea_ice
Running  262144 gridpoints with  0.0 % sea_ice
Running  524288 gridpoints with  0.0 % sea_ice
Running  1048576 gridpoints with  0.0 % sea_ice
Running  2097152 gridpoints with  0.0 % sea_ice
Running  4194304 gridpoints with  0.0 % sea_ice
Running  32 gridpoints with  1.0 % sea_ice
Running  64 gridpoints with  1.0 % sea_ice
Running  128 gridpoints with  1.0 % sea_ice
Running  256 gridpoints with  1.0 % sea_ice
Running  512 gridpoints with  1.0 % sea_ice
Running  1024 gridpoints with  1.0 % sea_ice
Running  2048 gridpoints with  1.0 % sea_ice
Running  4096 gridpoints with  1.0 % sea_ice
Running  8192 gridpoints with  1.0 % sea_ice
Running  16384 gridpoints with  1.0 % sea_ice
Running  32768 gridpoints with  1.0 % sea_ice
Running  65536 gridpoints with  1.0 % sea_ice
Running  131072 gridpoints with  1.0 % sea_ice
Running  262144 gridpoints with  1.0 % sea_ice
Running  524288 gridpoints with  1.0 % sea_ice
Running  1048576 gridpoints with  1.0 % sea_ice
Running  2097152 gridpoints with  1.0 % sea_ice
Running  4194304 gridpoints with  1.0 % sea_ice
Running  32 gridpoints with  5.0 % sea_ice
Running  64 gridpoints with  5.0 % sea_ice
Running  128 gridpoints with  5.0 % sea_ice
Running  256 gridpoints with  5.0 % sea_ice
Running  512 gridpoints with  5.0 % sea_ice
Running  1024 gridpoints with  5.0 % sea_ice
Running  2048 gridpoints with  5.0 % sea_ice
Running  4096 gridpoints with  5.0 % sea_ice
Running  8192 gridpoints with  5.0 % sea_ice
Running  16384 gridpoints with  5.0 % sea_ice
Running  32768 gridpoints with  5.0 % sea_ice
Running  65536 gridpoints with  5.0 % sea_ice
Running  131072 gridpoints with  5.0 % sea_ice
Running  262144 gridpoints with  5.0 % sea_ice
Running  524288 gridpoints with  5.0 % sea_ice
Running  1048576 gridpoints with  5.0 % sea_ice
Running  2097152 gridpoints with  5.0 % sea_ice
Running  4194304 gridpoints with  5.0 % sea_ice
Running  32 gridpoints with  10.0 % sea_ice
Running  64 gridpoints with  10.0 % sea_ice
Running  128 gridpoints with  10.0 % sea_ice
Running  256 gridpoints with  10.0 % sea_ice
Running  512 gridpoints with  10.0 % sea_ice
Running  1024 gridpoints with  10.0 % sea_ice
Running  2048 gridpoints with  10.0 % sea_ice
Running  4096 gridpoints with  10.0 % sea_ice
Running  8192 gridpoints with  10.0 % sea_ice
Running  16384 gridpoints with  10.0 % sea_ice
Running  32768 gridpoints with  10.0 % sea_ice
Running  65536 gridpoints with  10.0 % sea_ice
Running  131072 gridpoints with  10.0 % sea_ice
Running  262144 gridpoints with  10.0 % sea_ice
Running  524288 gridpoints with  10.0 % sea_ice
Running  1048576 gridpoints with  10.0 % sea_ice
Running  2097152 gridpoints with  10.0 % sea_ice
Running  4194304 gridpoints with  10.0 % sea_ice
Running  32 gridpoints with  25.0 % sea_ice
Running  64 gridpoints with  25.0 % sea_ice
Running  128 gridpoints with  25.0 % sea_ice
Running  256 gridpoints with  25.0 % sea_ice
Running  512 gridpoints with  25.0 % sea_ice
Running  1024 gridpoints with  25.0 % sea_ice
Running  2048 gridpoints with  25.0 % sea_ice
Running  4096 gridpoints with  25.0 % sea_ice
Running  8192 gridpoints with  25.0 % sea_ice
Running  16384 gridpoints with  25.0 % sea_ice
Running  32768 gridpoints with  25.0 % sea_ice
Running  65536 gridpoints with  25.0 % sea_ice
Running  131072 gridpoints with  25.0 % sea_ice
Running  262144 gridpoints with  25.0 % sea_ice
Running  524288 gridpoints with  25.0 % sea_ice
Running  1048576 gridpoints with  25.0 % sea_ice
Running  2097152 gridpoints with  25.0 % sea_ice
Running  4194304 gridpoints with  25.0 % sea_ice
Running  32 gridpoints with  50.0 % sea_ice
Running  64 gridpoints with  50.0 % sea_ice
Running  128 gridpoints with  50.0 % sea_ice
Running  256 gridpoints with  50.0 % sea_ice
Running  512 gridpoints with  50.0 % sea_ice
Running  1024 gridpoints with  50.0 % sea_ice
Running  2048 gridpoints with  50.0 % sea_ice
Running  4096 gridpoints with  50.0 % sea_ice
Running  8192 gridpoints with  50.0 % sea_ice
Running  16384 gridpoints with  50.0 % sea_ice
Running  32768 gridpoints with  50.0 % sea_ice
Running  65536 gridpoints with  50.0 % sea_ice
Running  131072 gridpoints with  50.0 % sea_ice
Running  262144 gridpoints with  50.0 % sea_ice
Running  524288 gridpoints with  50.0 % sea_ice
Running  1048576 gridpoints with  50.0 % sea_ice
Running  2097152 gridpoints with  50.0 % sea_ice
Running  4194304 gridpoints with  50.0 % sea_ice
Running  32 gridpoints with  75.0 % sea_ice
Running  64 gridpoints with  75.0 % sea_ice
Running  128 gridpoints with  75.0 % sea_ice
Running  256 gridpoints with  75.0 % sea_ice
Running  512 gridpoints with  75.0 % sea_ice
Running  1024 gridpoints with  75.0 % sea_ice
Running  2048 gridpoints with  75.0 % sea_ice
Running  4096 gridpoints with  75.0 % sea_ice
Running  8192 gridpoints with  75.0 % sea_ice
Running  16384 gridpoints with  75.0 % sea_ice
Running  32768 gridpoints with  75.0 % sea_ice
Running  65536 gridpoints with  75.0 % sea_ice
Running  131072 gridpoints with  75.0 % sea_ice
Running  262144 gridpoints with  75.0 % sea_ice
Running  524288 gridpoints with  75.0 % sea_ice
Running  1048576 gridpoints with  75.0 % sea_ice
Running  2097152 gridpoints with  75.0 % sea_ice
Running  4194304 gridpoints with  75.0 % sea_ice
Running  32 gridpoints with  90.0 % sea_ice
Running  64 gridpoints with  90.0 % sea_ice
